sample_index,delta_blood_glucose_mg_dl,delta_area_pct,measured_glucose_mg_dl,true_glucose_mg_dl,reference_glucose_mg_dl,source
1,2.799999999999997,4.7703943670794215,152.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
2,3.799999999999997,1.0837816911374871,153.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
3,-1.2000000000000028,1.4139877287463556,148.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
4,-1.2000000000000028,2.5745718465012533,148.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
5,-4.200000000000003,0.0,145.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
6,-0.2000000000000028,7.774421896166368,149.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
7,27.8,17.91633743480037,177.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
8,62.8,34.61300619781939,212.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
9,80.8,52.0560273539702,230.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
10,101.8,51.10406602879497,251.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
11,128.8,71.68005534803311,278.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
12,133.8,62.96321730420116,283.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
13,149.8,65.56788652341781,299.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
14,141.8,69.0995941196236,291.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
15,164.8,92.03779070671132,314.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
16,162.8,81.83902928499684,312.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
17,154.8,78.18451718857816,304.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
18,158.8,98.11912334500632,308.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
19,161.8,87.78444037591353,311.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
20,159.8,100.0,309.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
21,120.8,95.63594352195295,270.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
22,154.8,69.35944639106137,304.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
23,148.8,64.58688465162984,298.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
24,144.8,95.08575701963116,294.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
25,133.8,86.2708492984192,283.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
26,136.8,94.72323802843808,286.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
27,133.8,85.23834104002266,283.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
28,100.8,85.80436917374587,250.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
29,124.8,80.3544029253962,274.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
30,119.8,59.08897770730472,269.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
31,117.8,49.56766528029458,267.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
32,106.8,48.794634108632565,256.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
33,110.8,51.919831454358224,260.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
34,110.8,52.94492940574117,260.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
35,104.8,54.95585033797321,254.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
36,73.8,53.87948689526249,223.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
37,90.8,54.03770731906663,240.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
38,94.8,64.0242567595066,244.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
39,90.8,60.38702963099979,240.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
40,89.8,48.142119756479566,239.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
41,81.8,54.85082597550374,231.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
42,84.8,53.80639859550433,234.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
43,76.8,45.68223925747334,226.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
44,79.8,50.909555326128086,229.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
45,57.8,53.47671343417954,207.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
46,76.8,51.03193355752865,226.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
47,72.8,50.01591980139296,222.8,150.0,150.0,Nature Metabolism 2024 DOI 10.1038/s42255-024-01016-9 (Source Data Fig.4d)
